fold,train_size,test_size,train_positives,test_positives,auc,pr_auc,brier,precision,recall,f1,Regime,Feature_Set,Model
3,8000,2000,1625,406,0.5601022306555988,0.2294276020529523,0.1605382856900622,0.0,0.0,0.0,10%,Hybrid,LogisticRegression
4,8000,2000,1625,406,0.5747801175590731,0.2461984851807693,0.15980619171382585,0.0,0.0,0.0,10%,Hybrid,LogisticRegression
5,8000,2000,1624,407,0.5602042720686788,0.2271858814437413,0.1607461916320998,0.0,0.0,0.0,10%,Hybrid,LogisticRegression
1,8000,2000,1989,497,0.5222666672021484,0.25848313489915087,0.21719815,0.2361111111111111,0.10261569416498995,0.14305750350631136,15%,Traditional,RandomForest
2,8000,2000,1989,497,0.5168810601466417,0.2512700245240488,0.22318705,0.24822695035460993,0.14084507042253522,0.1797175866495507,15%,Traditional,RandomForest
3,8000,2000,1989,497,0.5062477325697364,0.24385332057742745,0.22533155,0.19665271966527198,0.09456740442655935,0.12771739130434784,15%,Traditional,RandomForest
4,8000,2000,1989,497,0.5402575131427286,0.2658369331789555,0.21774545,0.2595419847328244,0.13682092555331993,0.17918313570487485,15%,Traditional,RandomForest
5,8000,2000,1988,498,0.5142139797539024,0.25383699618948885,0.22437035,0.22900763358778625,0.12048192771084337,0.15789473684210525,15%,Traditional,RandomForest
1,8000,2000,1989,497,0.5713013945281804,0.297567440329817,0.18473663563368206,0.0,0.0,0.0,15%,Traditional,LogisticRegression
2,8000,2000,1989,497,0.5395152016557093,0.2663734901785768,0.18624872559035102,0.0,0.0,0.0,15%,Traditional,LogisticRegression
3,8000,2000,1989,497,0.5567175508138652,0.29345244645008506,0.18517323922043882,0.0,0.0,0.0,15%,Traditional,LogisticRegression
4,8000,2000,1989,497,0.5531512427860577,0.2794599245358046,0.18556155860859674,0.0,0.0,0.0,15%,Traditional,LogisticRegression
5,8000,2000,1988,498,0.5656313670126578,0.2914090343649849,0.1846323971073718,0.0,0.0,0.0,15%,Traditional,LogisticRegression
1,8000,2000,1989,497,0.5157786372258836,0.2537737291422994,0.2183716,0.22790697674418606,0.09859154929577464,0.13764044943820225,15%,Sentiment,RandomForest
2,8000,2000,1989,497,0.5130925272192034,0.25124258812364203,0.2223682,0.25650557620817843,0.13883299798792756,0.1801566579634465,15%,Sentiment,RandomForest
3,8000,2000,1989,497,0.5104425622263187,0.24436040223898242,0.22333334999999999,0.2,0.0925553319919517,0.1265474552957359,15%,Sentiment,RandomForest
4,8000,2000,1989,497,0.5340037564040263,0.2635158021213009,0.21725360000000002,0.2559055118110236,0.13078470824949698,0.17310252996005326,15%,Sentiment,RandomForest
5,8000,2000,1988,498,0.5095441686853941,0.2527799159555194,0.22355394999999997,0.23921568627450981,0.12248995983935743,0.16201859229747675,15%,Sentiment,RandomForest
1,8000,2000,1989,497,0.5740484155766268,0.2998681944790598,0.18462719901511793,0.0,0.0,0.0,15%,Sentiment,LogisticRegression
2,8000,2000,1989,497,0.5385459798043082,0.2646190689063282,0.18636479363858227,0.0,0.0,0.0,15%,Sentiment,LogisticRegression
3,8000,2000,1989,497,0.5581071257886641,0.293552985862348,0.1851316364702345,0.0,0.0,0.0,15%,Sentiment,LogisticRegression
4,8000,2000,1989,497,0.5526960833530792,0.28032740163340186,0.1855662620066893,0.0,0.0,0.0,15%,Sentiment,LogisticRegression
5,8000,2000,1988,498,0.5641834983074776,0.2907599816433578,0.1846918140675175,0.0,0.0,0.0,15%,Sentiment,LogisticRegression
1,8000,2000,1989,497,0.5167056898945235,0.24998395632287712,0.2199561,0.20982142857142858,0.09456740442655935,0.130374479889043,15%,Hybrid,RandomForest
2,8000,2000,1989,497,0.5090315679840854,0.24773955198529052,0.224709,0.2332155477031802,0.13279678068410464,0.16923076923076924,15%,Hybrid,RandomForest
3,8000,2000,1989,497,0.5063253774141857,0.2429114568765918,0.22637649999999998,0.2084942084942085,0.10865191146881288,0.14285714285714285,15%,Hybrid,RandomForest
4,8000,2000,1989,497,0.5388726236326811,0.2659946323064935,0.21777980000000002,0.2723735408560311,0.14084507042253522,0.1856763925729443,15%,Hybrid,RandomForest
5,8000,2000,1988,498,0.5100140909844437,0.25115946064164757,0.22660265,0.22676579925650558,0.12248995983935743,0.1590612777053455,15%,Hybrid,RandomForest
1,8000,2000,1989,497,0.5716989896799292,0.29351959376164216,0.18470710964602263,0.0,0.0,0.0,15%,Hybrid,LogisticRegression
2,8000,2000,1989,497,0.538610237606611,0.26553451992811694,0.18635436445271142,0.0,0.0,0.0,15%,Hybrid,LogisticRegression
3,8000,2000,1989,497,0.5587296232484729,0.29589237577110583,0.1850775000071088,0.0,0.0,0.0,15%,Hybrid,LogisticRegression
4,8000,2000,1989,497,0.5527175026205136,0.2798658619756096,0.18563732109310735,0.0,0.0,0.0,15%,Hybrid,LogisticRegression
5,8000,2000,1988,498,0.5667262926539715,0.2872384482485105,0.18477435857878172,0.0,0.0,0.0,15%,Hybrid,LogisticRegression
