threshold,precision,recall,f1,specificity,npv,tp,fp,tn,fn,threshold_type,Regime,Feature_Set
0.6,0.16906474820143885,0.046282619399310686,0.0726710475454194,0.9420253482243695,0.7948962304108429,94,462,7507,1937,Fixed,10%,Hybrid
0.61,0.15551181102362205,0.038897095027080254,0.062229224103977944,0.9461663947797716,0.7943531394858828,79,429,7540,1952,Top_5%,10%,Hybrid
0.7,0.15934065934065933,0.014278680452978828,0.026208766380478987,0.9808006023340444,0.7960888164595641,29,153,7816,2002,Fixed,10%,Hybrid
0.8,0.07407407407407407,0.0019694731659281144,0.0038369304556354917,0.9937256870372694,0.7961994771767544,4,50,7919,2027,Fixed,10%,Hybrid
0.9,0.0,0.0,0.0,0.9984941648889447,0.7966559871846215,0,12,7957,2031,Fixed,10%,Hybrid
0.07,0.25921435499515033,0.8600160901045857,0.39836035028880196,0.18685121107266436,0.8013698630136986,2138,6110,1404,348,Youden,15%,Sentiment
0.1,0.25992732935375035,0.8057119871279164,0.39305337519623235,0.24101676869842958,0.7894507410636443,2003,5703,1811,483,Fixed,15%,Sentiment
0.2,0.2553340328786289,0.587288817377313,0.355923939541687,0.43332446100612193,0.7603923400280242,1460,4258,3256,1026,Fixed,15%,Sentiment
0.3,0.25736126840317103,0.3656476267095736,0.3020937188434696,0.6509182858663828,0.7561842918985776,909,2623,4891,1577,Fixed,15%,Sentiment
0.4,0.24798482693219534,0.21037811745776347,0.22763873775843307,0.7889273356401384,0.7512355848434926,523,1586,5928,1963,Fixed,15%,Sentiment
0.41,0.2433915211970075,0.19629927594529364,0.2173235359608105,0.7981101943039659,0.750093808630394,488,1517,5997,1998,Top_20%,15%,Sentiment
0.5,0.24084177708495713,0.12429605792437651,0.16396922260546565,0.8703752994410434,0.7502581163244235,309,974,6540,2177,Fixed,15%,Sentiment
0.54,0.23164918970448045,0.09774738535800483,0.13748231966053748,0.8927335640138409,0.7494134733549324,243,806,6708,2243,Top_10%,15%,Sentiment
0.6,0.2178932178932179,0.06074014481094127,0.09499842717835798,0.9278679797710939,0.7491135704308585,151,542,6972,2335,Fixed,15%,Sentiment
0.64,0.2263779527559055,0.04625905068382945,0.07682030728122913,0.9476976310886346,0.7502107037505268,115,393,7121,2371,Top_5%,15%,Sentiment
0.7,0.22509225092250923,0.024537409493161706,0.04425099746100834,0.9720521692840032,0.7507451947784973,61,210,7304,2425,Fixed,15%,Sentiment
0.8,0.2857142857142857,0.010458567980691875,0.02017850213426465,0.9913494809688581,0.7517408416590978,26,65,7449,2460,Fixed,15%,Sentiment
0.9,0.09090909090909091,0.00040225261464199515,0.0008009611533840609,0.9986691509182859,0.7512263489838823,1,10,7504,2485,Fixed,15%,Sentiment
0.1,0.2588388780169602,0.7980691874497184,0.3908974485272387,0.24394463667820068,0.7850107066381157,1984,5681,1833,502,Fixed,15%,Hybrid
0.11,0.2593288590604027,0.7771520514883347,0.3888888888888889,0.2656374767101411,0.7827450980392157,1932,5518,1996,554,Youden,15%,Hybrid
0.2,0.2570409982174688,0.580048270313757,0.35622529644268774,0.44530210274154913,0.7621867881548975,1442,4168,3346,1044,Fixed,15%,Hybrid
0.3,0.254601226993865,0.3672566371681416,0.3007246376811594,0.644264040457812,0.7547552229497974,913,2673,4841,1573,Fixed,15%,Hybrid
0.4,0.24611161939615736,0.2164119066773934,0.2303082191780822,0.7806760713335108,0.7507038648579473,538,1648,5866,1948,Fixed,15%,Hybrid
0.41,0.2437619961612284,0.20434432823813356,0.2223194748358862,0.7902581847218525,0.7501263264274887,508,1576,5938,1978,Top_20%,15%,Hybrid
0.5,0.2311669128508124,0.1259050683829445,0.16302083333333334,0.8614586105935587,0.7486699051584548,313,1041,6473,2173,Fixed,15%,Hybrid
0.56,0.22673267326732674,0.0921158487530169,0.13100686498855835,0.8960606867181261,0.7489432703003337,229,781,6733,2257,Top_10%,15%,Hybrid
0.6,0.22696929238985314,0.06838294448913917,0.10510046367851623,0.9229438381687517,0.7496486866284726,170,579,6935,2316,Fixed,15%,Hybrid
0.64,0.22846441947565543,0.04907481898632341,0.08079470198675497,0.9451690178333777,0.7502641031058526,122,412,7102,2364,Top_5%,15%,Hybrid
0.7,0.22772277227722773,0.02775543041029767,0.0494801003944066,0.9688581314878892,0.7507476539135816,69,234,7280,2417,Fixed,15%,Hybrid
0.8,0.28,0.011263073209975865,0.02165506573859242,0.9904178866116582,0.7517171717171717,28,72,7442,2458,Fixed,15%,Hybrid
0.9,0.07142857142857142,0.00040225261464199515,0.0008,0.9982698961937716,0.75115161225716,1,13,7501,2485,Fixed,15%,Hybrid
