,id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,int_rate,installment,annual_inc,dti,delinq_2yrs,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_amnt,last_fico_range_high,last_fico_range_low,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,annual_inc_joint,dti_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_fico_range_low,sec_app_fico_range_high,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,deferral_term,hardship_amount,hardship_length,hardship_dpd,orig_projected_additional_accrued_interest,hardship_payoff_balance_amount,hardship_last_payment_amount,settlement_amount,settlement_percentage,settlement_term,text_length,word_count,sentence_count,avg_word_length,sentiment_score,sentiment_confidence,financial_keyword_count,positive_word_count,negative_word_count,sentiment_balance,has_positive_words,has_negative_words,has_financial_terms,target
count,97020.0,0.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0,97020.0
mean,82800480.05385488,,15176.197433518862,15176.09436198722,15170.851980723563,13.138740878169449,449.44696536796545,78343.31413656977,18.99932601525459,0.311245104102247,697.9599051741909,701.9601319315605,0.5667182024324882,32.68863121005978,73.69346526489383,11.681653267367553,0.20504019789734076,16663.93902288188,50.38176973819831,24.212894248608535,4374.572860544218,4373.584041950114,12032.094514617162,12027.434421047208,9445.460740568955,2435.8278599257887,1.4913291321987563,149.31458771387344,25.21016529477333,3424.1667169659236,687.3215316429602,674.9849515563801,0.018119975262832405,43.96197691197691,1.0,110755.74675087609,19.007999072356217,0.0043702329416615135,231.08245722531436,142098.13337456193,0.957802514945372,2.5014533085961657,0.4279323850752422,1.3541950113378685,18.022016079158938,31177.481282209854,70.42164502164502,1.1820140177283034,2.4766233766233765,5295.743836322407,57.43426097711812,34370.58240568955,0.6430323644609359,0.9339620696763554,1.6526695526695527,4.521139971139971,13485.622325293754,11251.128983714698,58.009978354978344,0.00917336631622346,12.721346114203257,125.72588126159555,181.12881880024736,13.998763141620284,8.267893217893217,1.5542671614100185,24.68241599670171,37.55094825809112,6.802339723768295,33.9086889301175,0.4998144712430427,3.670500927643785,5.628458049886621,4.76816120387549,7.700381364667079,8.445351473922903,8.247268604411461,13.970160791589363,5.579313543599258,11.640847247990106,0.0007111935683364255,0.002762317048031334,0.08380746237889095,2.0702741702741703,94.11467120181406,42.5144775304061,0.1313440527726242,0.050432900432900434,177665.72434549578,51406.97547928262,23107.19784580499,43975.74652648938,27070.776509997937,670.0056173984746,674.0056173984746,0.03140589569160998,1.02715934858792,10.075056689342404,60.48318284889715,2.046176046176046,11.087579880437023,0.002834467120181406,0.004442383013811585,35.03021026592455,3.0,121.17837827252117,3.0,13.997536590393734,345.70926839826836,10108.356937023294,135.63983570397852,4132.311302618017,45.044204493918784,13.986755308183879,7.0907132549989695,1.084745413316842,0.05606060606060606,0.17761027883486843,-0.0004745244981076936,0.750532962486082,0.07110904968047825,0.0050917336631622345,0.013254998969284684,-0.00816326530612245,0.004215625644197073,0.011018346732632446,0.030663780663780664,0.13113790970933828
std,43388948.21322024,,9238.302736629528,9238.304701906014,9236.30018103628,4.860566474520094,268.6471548464607,82150.26294295756,14.329767525728862,0.8627944751723001,32.76184929174844,32.76287046736752,0.8679328459612778,15.449976988008736,10.612867909484661,5.667928547546962,0.6321338683736017,22752.91066438194,24.63640956680067,11.967095201422861,7476.308246497356,7475.434987517655,9880.653155982343,9876.887860121398,8313.052509586274,2671.480729634823,11.937474656238788,771.0322577810714,134.38279223170352,6018.803651181579,72.65877801234548,111.69642594995368,0.14719835147805108,11.075861146634047,0.0,15426.919850264792,1.8068887578297135,0.07107793253435402,2297.075262788605,160354.974624245,0.9047394736898283,2.423095997335276,0.8024374531624922,1.2776646968137093,20.69369559406092,36445.85352850138,17.577852368861617,1.2075241359982931,2.100314573183683,5820.875859348666,16.670846610544004,34505.72444740457,1.287972198679216,2.2297321566681476,1.9489026581347373,3.167725429882659,16563.519006836275,16295.600979379682,28.433320175154105,0.1116695591273927,686.1605946247361,52.53498198793401,96.9808146471097,17.45128992624114,9.08833331046777,1.902522772071561,31.94616638154702,11.137968928686872,5.656262468651914,13.099890429922903,1.348433415132478,2.3147015007338103,3.371603737219929,3.032863780488394,4.669573693470462,7.370858607918998,4.689079509073348,7.998097192441793,3.283730289341372,5.653205555785135,0.02742123510894598,0.056459011156341186,0.48682707732352926,1.8275029866723496,9.016533574747598,36.017227035158804,0.36612678509164076,0.46369367102884834,181948.4640251643,50859.81874312011,23480.14793211179,45865.46679394569,6659.661434820437,9.893042627129883,9.893042627129883,0.2576268614618582,0.4102581183192679,1.5040373732331052,5.708348905888316,0.7081528402835939,1.9002610371645863,0.1346961377383761,0.13084814640096507,3.145840690008092,0.0,9.280669550862042,0.0,0.6894744683212168,23.527149271518894,553.157677407725,14.552220961556744,484.54250542064284,0.9138609484340974,1.0269660151903253,37.903981934245444,6.89108117010543,0.4158806354603702,0.9228805675579019,0.5768638195390161,0.14426626841940232,0.47982003013863733,0.08527375703150705,0.1367742754225271,0.14491859312051059,0.06479118314251002,0.10438896055393701,0.17240597317700312,0.3375528592135353
min,376541.0,,1000.0,1000.0,725.0,5.31,30.12,0.0,0.0,0.0,660.0,664.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20000.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540.0,544.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.09,3.0,0.0,12.27,553.87,0.02,203.0,15.0,0.0,1.0,0.0,0.0,0.0,-0.999988926648524,0.5000023893045815,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0
25%,49944430.75,,8000.0,8000.0,8000.0,9.49,255.0,46065.75,11.98,0.0,675.0,679.0,0.0,31.0,74.0,8.0,0.0,6001.0,31.6,15.0,0.0,0.0,4508.5175,4507.75,3000.0,729.5225,0.0,0.0,0.0,312.62,654.0,650.0,0.0,44.0,1.0,110000.0,18.99,0.0,0.0,28910.0,0.0,2.0,0.0,1.0,11.0,16606.25,70.0,1.0,2.0,3434.0,52.0,14600.0,0.0,0.0,1.0,2.0,3057.0,1744.0,35.8,0.0,0.0,97.0,116.0,4.0,3.0,0.0,6.0,37.0,2.0,33.0,0.0,2.0,3.0,3.0,4.0,3.0,5.0,8.0,3.0,8.0,0.0,0.0,0.0,1.0,91.3,0.0,0.0,0.0,50441.0,20939.75,8300.0,15000.0,26696.5,670.0,674.0,0.0,1.0,10.0,60.6,2.0,11.0,0.0,0.0,35.0,3.0,121.005,3.0,14.0,345.33,10099.69,135.32999999999998,4117.2,45.0,14.0,1.0,0.0,0.0,0.0,-0.5005751220819517,0.6255234564331125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,86351383.0,,13000.0,13000.0,13000.0,12.69,380.88,65000.0,18.03,0.0,690.0,694.0,0.0,31.0,74.0,11.0,0.0,11380.0,50.3,22.0,0.0,0.0,9267.7784976441,9263.09,7000.0,1533.42,0.0,0.0,0.0,600.615,699.0,695.0,0.0,44.0,1.0,110000.0,18.99,0.0,0.0,78900.0,1.0,2.0,0.0,1.0,13.0,23170.5,72.0,1.0,2.0,4403.0,58.0,25400.0,0.0,0.0,1.0,4.0,7291.0,5450.0,60.3,0.0,0.0,130.0,164.0,8.0,6.0,1.0,14.0,37.0,5.0,33.0,0.0,3.0,5.0,4.0,7.0,6.0,7.0,12.0,5.0,11.0,0.0,0.0,0.0,2.0,100.0,37.5,0.0,0.0,113551.0,38039.5,16200.0,32778.0,26696.5,670.0,674.0,0.0,1.0,10.0,60.6,2.0,11.0,0.0,0.0,35.0,3.0,121.005,3.0,14.0,345.33,10099.69,135.32999999999998,4117.2,45.0,14.0,1.0,0.0,0.0,0.0,0.0020188907196945997,0.7506652564276335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75%,124055535.5,,20000.0,20000.0,20000.0,15.99,595.41,93834.0,24.7,0.0,715.0,719.0,1.0,31.0,74.0,15.0,0.0,20260.0,69.3,31.0,6566.8,6557.9375,16892.5575,16887.64,13600.0,3115.4849999999997,0.0,0.0,0.0,3690.455,734.0,730.0,0.0,44.0,1.0,110000.0,18.99,0.0,0.0,212652.5,1.0,2.0,1.0,2.0,16.0,31052.0,74.0,1.0,3.0,5475.0,64.0,42900.0,1.0,1.0,2.0,6.0,18685.5,14016.0,83.0,0.0,0.0,153.0,231.0,17.0,11.0,3.0,29.0,37.0,10.0,33.0,0.0,5.0,7.0,6.0,10.0,11.0,10.0,18.0,7.0,14.0,0.0,0.0,0.0,3.0,100.0,71.4,0.0,0.0,256697.75,64825.25,30150.0,59047.25,26696.5,670.0,674.0,0.0,1.0,10.0,60.6,2.0,11.0,0.0,0.0,35.0,3.0,121.005,3.0,14.0,345.33,10099.69,135.32999999999998,4117.2,45.0,14.0,1.0,0.0,0.0,0.0,0.4997567860264799,0.8749591615759169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
max,145645172.0,,40000.0,40000.0,40000.0,30.99,1714.54,10999200.0,999.0,30.0,845.0,850.0,6.0,226.0,123.0,64.0,61.0,1470945.0,161.5,126.0,39118.69,39118.69,62687.0308919774,62687.03,40000.0,27687.03,1484.34,34740.4,5459.4,41009.32,850.0,845.0,7.0,226.0,1.0,960000.0,46.52,3.0,309838.0,4028354.0,12.0,43.0,10.0,18.0,444.0,1754743.0,311.0,23.0,35.0,1170668.0,211.0,1875800.0,28.0,45.0,34.0,36.0,620531.0,345826.0,194.9,9.0,69509.0,527.0,842.0,306.0,201.0,27.0,538.0,160.0,24.0,165.0,30.0,33.0,47.0,42.0,61.0,97.0,63.0,112.0,40.0,64.0,2.0,3.0,30.0,23.0,100.0,100.0,8.0,61.0,9999999.0,2336791.0,1569000.0,2118996.0,370123.0,830.0,834.0,6.0,18.0,82.0,172.7,28.0,92.0,21.0,23.0,185.0,3.0,833.67,3.0,30.0,2297.58,36235.84,1187.56,23766.0,90.0,36.0,1221.0,220.0,15.0,9.875,0.999984084605932,0.9999946924131072,15.0,6.0,4.0,4.0,1.0,1.0,1.0,1.0
